player_id,name_last,name_first,link,link_title,name_full_commas,teams_list,first_year,last_year
patet101,Paterson,Tom,https://afltables.com/afl/stats/players/T/Tom_Paterson.html,Collingwood (1897),"Paterson, Tom",['Collingwood (1897)'],1897,1897
patfj001,Patfull,Joel,https://afltables.com/afl/stats/players/J/Joel_Patfull.html,"Brisbane Lions (2006-2014), Greater Western Sydney (2015-2016)","Patfull, Joel","['Brisbane Lions (2006-2014)', ' Greater Western Sydney (2015-2016)']",2006,2016
patmr101,Patman,Ralph,https://afltables.com/afl/stats/players/R/Ralph_Patman.html,"Fitzroy (1943), Geelong (1944-1945)","Patman, Ralph","['Fitzroy (1943)', ' Geelong (1944-1945)']",1943,1945
patob001,Paton,Ben,https://afltables.com/afl/stats/players/B/Ben_Paton.html,St Kilda (2018-2019),"Paton, Ben",['St Kilda (2018-2019)'],2018,2019
patoi001,Paton,Ian,https://afltables.com/afl/stats/players/I/Ian_Paton.html,Hawthorn (1976-1985),"Paton, Ian",['Hawthorn (1976-1985)'],1976,1985
patoj101,Paton,Joe,https://afltables.com/afl/stats/players/J/Joe_Paton.html,Carlton (1897),"Paton, Joe",['Carlton (1897)'],1897,1897
patrg101,Patrick,Gil,https://afltables.com/afl/stats/players/G/Gil_Patrick.html,Western Bulldogs (1929),"Patrick, Gil",['Western Bulldogs (1929)'],1929,1929
patrl001,Patrick,Liam,https://afltables.com/afl/stats/players/L/Liam_Patrick.html,Gold Coast (2011-2013),"Patrick, Liam",['Gold Coast (2011-2013)'],2011,2013
patta101,Patterson,Alby,https://afltables.com/afl/stats/players/A/Alby_Patterson.html,Carlton (1897),"Patterson, Alby",['Carlton (1897)'],1897,1897
pattb101,Patterson,Bill,https://afltables.com/afl/stats/players/B/Bill_Patterson0.html,Carlton (1897-1898),"Patterson, Bill",['Carlton (1897-1898)'],1897,1898
pattb102,Patterson,Bill,https://afltables.com/afl/stats/players/B/Bill_Patterson1.html,St Kilda (1911-1912),"Patterson, Bill",['St Kilda (1911-1912)'],1911,1912
pattd101,Patterson,Dallas,https://afltables.com/afl/stats/players/D/Dallas_Patterson.html,Western Bulldogs (1965-1968),"Patterson, Dallas",['Western Bulldogs (1965-1968)'],1965,1968
pattf101,Patterson,Fred,https://afltables.com/afl/stats/players/F/Fred_Patterson.html,Sydney (1943),"Patterson, Fred",['Sydney (1943)'],1943,1943
pattj101,Patterson,Jack,https://afltables.com/afl/stats/players/J/Jack_Patterson.html,"Sydney (1931), North Melbourne (1932-1935)","Patterson, Jack","['Sydney (1931)', ' North Melbourne (1932-1935)']",1931,1935
pattj103,Patterson,Jeff,https://afltables.com/afl/stats/players/J/Jeff_Patterson.html,"Sydney (1951-1952), Richmond (1953-1954), Fitzroy (1954)","Patterson, Jeff","['Sydney (1951-1952)', ' Richmond (1953-1954)', ' Fitzroy (1954)']",1951,1954
pattj102,Patterson,Jim,https://afltables.com/afl/stats/players/J/Jim_Patterson.html,North Melbourne (1943-1947),"Patterson, Jim",['North Melbourne (1943-1947)'],1943,1947
pattm101,Patterson,Michael,https://afltables.com/afl/stats/players/M/Michael_Patterson.html,Richmond (1959-1969),"Patterson, Michael",['Richmond (1959-1969)'],1959,1969
pattp102,Patterson,Pat,https://afltables.com/afl/stats/players/P/Pat_Patterson.html,Geelong (1969),"Patterson, Pat",['Geelong (1969)'],1969,1969
pattp003,Patterson,Paul,https://afltables.com/afl/stats/players/P/Paul_Patterson.html,Adelaide (1991-1993),"Patterson, Paul",['Adelaide (1991-1993)'],1991,1993
pattp101,Patterson,Peter,https://afltables.com/afl/stats/players/P/Peter_Patterson.html,Collingwood (1965-1970),"Patterson, Peter",['Collingwood (1965-1970)'],1965,1970
patts101,Patterson,Sandy,https://afltables.com/afl/stats/players/S/Sandy_Patterson.html,Sydney (1937-1940),"Patterson, Sandy",['Sydney (1937-1940)'],1937,1940
