,playerID,team,theyear,round_number,Opponent,R,%P,1%,BH,BO,BR,CG,CL,CM,CP,DI,FA,FF,GA,GL,HB,HO,IF,KI,MI,MK,RB,TK,UP
98,watsd101,Collingwood,1900,7,Melbourne,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,watsd101,Collingwood,1900,8,Fitzroy,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,watsd101,Collingwood,1900,9,Geelong,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,watsd101,Collingwood,1900,14,Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,watsd101,Collingwood,1900,3,South Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,watsd101,Collingwood,1900,15,St Kilda,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,watsd101,Collingwood,1900,16,Geelong,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,watsd101,Collingwood,1900,17,Melbourne,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,watss101,Collingwood,1900,1,Fitzroy,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,watss101,Collingwood,1900,4,Essendon,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,watsa101,Hawthorn,1929,17,Footscray,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,watsa101,Hawthorn,1929,18,South Melbourne,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,watsa002,Kangaroos,2003,8,Port Adelaide,L,35,2,0,0,0,1,1,0,3,7,1,0,0,0,2,0,1,5,0,1,1,0,4
111,watsa002,Kangaroos,2003,9,Sydney,W,47,1,0,0,0,0,2,0,3,7,0,0,2,0,1,0,2,6,0,1,0,3,4
112,watsa002,Kangaroos,2003,10,Western Bulldogs,W,54,1,0,0,0,0,3,0,5,13,0,0,2,0,5,0,3,8,0,4,1,1,8
113,watsa002,Kangaroos,2003,11,Richmond,W,46,0,0,0,0,0,0,0,2,5,0,0,0,0,2,0,1,3,0,2,1,0,3
114,watsa002,Kangaroos,2004,10,Collingwood,L,38,2,0,0,0,2,0,1,4,6,0,2,0,0,2,0,1,4,0,2,1,0,4
115,watsa002,Kangaroos,2004,11,Richmond,W,23,1,0,0,0,2,0,0,1,4,0,0,0,1,1,0,1,3,0,1,0,0,3
116,watsa002,Kangaroos,2005,15,West Coast,L,26,0,0,0,0,1,1,0,2,3,0,0,0,0,2,0,0,1,0,0,0,0,1
